Time (s),Acceleration_mm_s2,Velocity_mm_s,Displacement_mm
4.68,-452.78389236857385,46.63496422956056,166.3051274730182
4.69,-100.26139657668784,43.86973778483425,166.75765098309017
4.7,-154.1421538197268,42.59772003285217,167.1899882721786
4.71,-444.9505327247314,39.602256600129884,167.60098815534352
4.72,-603.2471002515268,34.36126843524859,167.9708057805204
4.73,-347.50555932430694,29.607505137369422,168.2906496483835
4.74,260.52017509537285,29.172578216224753,168.58455006515146
4.75,872.3332523903815,34.83684535365352,168.90459718300085
4.76,1038.0490710902905,44.38875697105688,169.3007251946244
4.7700000000000005,588.6085527166281,52.52204509009147,169.78527920493013
4.78,-253.7811356598415,54.1961821753754,170.31887034125748
4.79,-930.248436735303,48.27603431339968,170.83123142370135
4.8,-1006.4887636130678,38.59234831165782,171.26557333682663
4.8100000000000005,-486.5141087556608,31.12733394981418,171.614171748134
4.82,38.802300595808006,28.888774909014916,171.91425229242813
4.83,-299.31168701965413,27.586227976895685,172.1966273068577
4.84,-2096.7856033707126,15.605741524943852,172.4125871543669
4.8500000000000005,-5146.27882930452,-20.609580638432305,172.38756795879945
4.86,-8335.798188113666,-88.01996572552324,171.84442022697968
4.87,-10090.907640799716,-180.15349487009013,170.5035529240016
4.88,-9172.174104252785,-276.46890359535263,168.2204409316744
4.89,-5325.9531440282335,-348.9595398367577,165.09329871451385
4.9,415.61450109081375,-373.5112330514448,161.48094485007283
4.91,6162.784054523719,-340.6192402733721,157.91029248344876
4.92,10039.339700411185,-259.6086214986976,154.9091531745884
4.93,10996.798596828725,-154.42793001249805,152.8389704170324
4.94,9250.861059741086,-53.18963172964898,151.80088260832167
4.95,6060.117662047326,23.365261879293072,151.6517607590699
4.96,2963.713716471345,68.48441877188642,152.1110091623258
4.97,1085.475942115406,88.73036706482017,152.89708309150933
4.98,631.0498727302123,97.31299613904827,153.82729990752867
4.99,1027.2419804116266,105.60445540475746,154.8418871652477
5.0,1428.2398966871954,117.88186479025157,155.95931876622274
5.01,1226.2008445396918,131.154068496386,157.20449843265592
5.0200000000000005,446.29098358382976,139.5165276370036,158.55785141332288
5.03,-473.5928235995343,139.38001843692507,159.95233414369253
5.04,-986.6862199659892,132.07862321909747,161.30962735197264
5.05,-874.1185045096666,122.77459959671918,162.58389346605173
5.0600000000000005,-312.0724813074308,116.8436446676337,163.7819846873735
5.07,237.73843891190032,116.47197445565604,164.94856278298994
5.08,401.0937151301144,119.66613522586611,166.12925333139754
5.09,147.23470933222157,122.40777734817779,167.33962289426776
5.1000000000000005,-262.0658117332273,121.83362183617275,168.56082989018952
5.11,-445.0193493933751,118.29819603053974,169.76148897952308
5.12,-219.86125234133607,114.97379302186619,170.9278489247851
5.13,286.29660131478977,115.30596976673345,172.0792477387281
5.14,743.3306015419147,120.45410578101698,173.25804811646685
5.15,833.4119741335035,128.33781865939406,174.5020077386689
5.16,490.9494543136346,134.95962580162976,175.81849496097402
5.17,-57.44963545374966,137.12712489592917,177.17892871446182
5.18,-484.533908410966,134.4172071766056,178.5366503748245
5.19,-590.3606708364533,129.04273428036848,179.85395008210935
5.2,-416.8365400610172,124.00674822588113,181.1191974946406
5.21,-263.1699451658632,120.60671579974672,182.34226481476873
5.22,-386.5597252652594,117.35806744759111,183.53208873100542
5.23,-842.6946749208107,111.21179544666076,184.67493804547667
5.24,-1413.0102090394307,99.93327102685956,185.73066337784428
5.25,-1749.7229683545493,84.11960513988966,186.65092775867802
5.26,-1611.1396913720912,67.31529184125645,187.40810224358376
5.2700000000000005,-1073.2287844926511,53.89344946193274,188.0141459500997
5.28,-450.864765064749,46.272981714145736,188.5149781059801
5.29,-95.85323462397778,43.5393917157021,188.96403997312933
5.3,-158.5330788124813,42.26746014851981,189.39307423245043
5.3100000000000005,-441.6154856851759,39.266717326031525,189.80074511982318
5.32,-596.8088933163376,34.07459543102396,190.16745168360845
5.33,-348.4205929322271,29.348447999781136,190.48456690076247
5.34,258.4689027676298,28.89868954895815,190.77580258850617
5.3500000000000005,868.0202769781555,34.53113544768708,191.09295171348938
5.36,1037.6953590449025,44.05971362780237,191.48590595886682
5.37,584.0692634137995,52.168536740095874,191.9670472107063
5.38,-250.8891637019686,53.83443723865503,192.49706208060007
5.39,-935.1412902324728,47.90428496898282,193.00575569163826
5.4,-1011.0346307459184,38.17340536409087,193.43614414330364
5.41,-480.8122726639159,30.714170847041697,193.7805820243593
5.42,45.91745591726083,28.53969676330842,194.07685136241105
5.43,-300.3294182052504,27.26763695186847,194.35588803098693
5.44,-2098.1556139347226,15.275211791168605,194.56860227470213
5.45,-5146.920464087323,-20.950168598941627,194.54022749066326
5.46,-8337.075597981442,-88.37014890928546,193.9936259031221
5.47,-10100.057175510845,-180.5558127767469,192.64899609469194
5.48,-9170.65106627563,-276.9093539856793,190.3616702608798
5.49,-5323.784137846985,-349.38153000629234,187.23021584091995
5.5,418.9733407389296,-373.9055839918326,183.61378027092934
5.51,6161.412101792171,-341.0036567791771,180.0392340670743
5.5200000000000005,10042.183486175129,-259.9856788393406,177.0342873889817
5.53,10998.329787595634,-154.7831124704868,174.96044343243258
5.54,9254.68664060934,-53.51803032946192,173.91893771843283
